iter	Passed	Remaining
0	139	139549
1	140	70033
2	140	46826
3	141	35236
4	142	28263
5	142	23620
6	143	20293
7	143	17807
8	144	15878
9	144	14331
10	145	13073
11	145	12018
12	146	11126
13	147	10362
14	147	9699
15	148	9120
16	148	8606
17	149	8146
18	149	7738
19	150	7368
20	150	7033
21	151	6726
22	151	6442
23	152	6186
24	152	5950
25	153	5732
26	153	5530
27	153	5339
28	154	5164
29	154	5001
30	155	4848
31	155	4707
32	156	4573
33	156	4455
34	157	4338
35	157	4224
36	158	4117
37	158	4015
38	159	3919
39	159	3827
40	159	3740
41	160	3657
42	160	3574
43	161	3500
44	161	3431
45	162	3361
46	162	3296
47	163	3232
48	163	3172
49	163	3113
50	164	3057
51	164	2999
52	164	2946
53	165	2896
54	165	2850
55	166	2805
56	166	2761
57	167	2718
58	167	2676
59	168	2635
60	168	2596
61	169	2558
62	169	2521
63	169	2485
64	170	2451
65	170	2418
66	171	2386
67	171	2355
68	172	2326
69	172	2296
70	173	2269
71	173	2240
72	174	2212
73	174	2186
74	175	2159
75	175	2133
76	175	2108
77	176	2084
78	176	2062
79	177	2042
80	178	2021
81	178	1999
82	179	1978
83	179	1957
84	179	1936
85	180	1916
86	180	1896
87	181	1877
88	181	1859
89	182	1841
90	182	1825
91	183	1807
92	183	1790
93	184	1773
94	184	1757
95	184	1741
96	185	1724
97	185	1709
98	186	1694
99	186	1679
100	186	1663
101	187	1650
102	188	1637
103	188	1623
104	188	1610
105	189	1597
106	189	1584
107	190	1571
108	190	1558
109	191	1546
110	191	1534
111	192	1522
112	192	1509
113	192	1498
114	193	1488
115	193	1477
116	194	1465
117	194	1454
118	195	1444
119	195	1433
120	195	1422
121	196	1410
122	196	1401
123	196	1391
124	197	1382
125	198	1373
126	198	1365
127	199	1355
128	199	1347
129	199	1338
130	200	1329
131	200	1321
132	201	1312
133	201	1303
134	202	1295
135	202	1287
136	203	1281
137	203	1273
138	204	1264
139	204	1257
140	205	1249
141	205	1242
142	206	1234
143	206	1227
144	206	1219
145	207	1212
146	207	1206
147	208	1199
148	209	1193
149	209	1187
150	209	1180
151	210	1174
152	210	1167
153	211	1161
154	211	1154
155	212	1148
156	212	1142
157	213	1136
158	213	1131
159	214	1125
160	214	1119
161	215	1113
162	215	1108
163	216	1101
164	216	1096
165	217	1090
166	217	1083
167	217	1078
168	218	1073
169	218	1068
170	219	1063
171	219	1058
172	220	1053
173	220	1047
174	221	1042
175	221	1037
176	222	1032
177	222	1027
178	222	1022
179	223	1017
180	223	1013
181	224	1009
182	225	1004
183	225	999
184	225	995
185	226	990
186	226	985
187	227	981
188	227	976
189	228	972
190	228	967
191	228	963
192	229	959
193	229	955
194	230	950
195	230	946
196	231	942
197	231	937
198	231	933
199	232	929
200	232	925
201	233	921
202	233	917
203	234	913
204	234	910
205	235	906
206	235	902
207	236	899
208	236	895
209	237	891
210	237	887
211	237	884
212	238	880
213	238	876
214	239	873
215	239	870
216	240	867
217	240	863
218	241	860
219	241	856
220	242	853
221	242	850
222	243	846
223	243	843
224	243	840
225	244	837
226	244	834
227	245	831
228	245	827
229	246	824
230	246	821
231	247	818
232	247	815
233	248	812
234	248	809
235	249	806
236	249	803
237	249	800
238	250	797
239	250	794
240	251	791
241	251	788
242	252	785
243	252	782
244	253	780
245	253	777
246	254	774
247	254	771
248	254	769
249	255	766
250	256	764
251	256	761
252	257	758
253	257	756
254	258	753
255	258	751
256	258	748
257	259	746
258	259	743
259	260	741
260	260	738
261	261	736
262	261	733
263	262	731
264	262	728
265	263	726
266	263	723
267	264	721
268	264	718
269	264	716
270	265	713
271	265	711
272	266	709
273	266	707
274	267	704
275	267	702
276	268	700
277	268	697
278	269	695
279	269	693
280	270	690
281	270	688
282	271	686
283	271	684
284	271	682
285	272	680
286	273	678
287	273	676
288	273	673
289	274	671
290	274	669
291	275	667
292	275	664
293	275	662
294	276	660
295	277	659
296	277	656
297	277	654
298	278	652
299	278	650
300	279	648
301	279	646
302	280	644
303	280	642
304	281	640
305	281	639
306	282	637
307	282	635
308	283	633
309	283	631
310	284	629
311	284	627
312	285	625
313	285	623
314	286	622
315	286	620
316	287	618
317	287	617
318	288	615
319	288	613
320	289	611
321	289	609
322	289	607
323	290	606
324	290	604
325	291	602
326	291	600
327	292	599
328	293	597
329	293	595
330	293	594
331	294	592
332	294	590
333	295	588
334	295	586
335	296	585
336	296	583
337	296	581
338	297	580
339	298	578
340	298	576
341	298	575
342	299	573
343	299	571
344	300	569
345	300	568
346	301	566
347	301	564
348	302	563
349	302	561
350	303	560
351	303	558
352	304	557
353	304	555
354	305	554
355	305	552
356	305	551
357	306	549
358	306	548
359	307	546
360	308	545
361	308	543
362	309	542
363	309	540
364	309	539
365	310	537
366	310	536
367	311	534
368	311	533
369	312	531
370	312	530
371	313	528
372	313	527
373	314	526
374	314	524
375	315	523
376	315	521
377	316	520
378	316	518
379	316	517
380	317	515
381	317	514
382	318	512
383	318	511
384	319	510
385	319	508
386	320	507
387	320	506
388	321	504
389	321	503
390	322	501
391	322	500
392	323	499
393	323	498
394	324	496
395	324	495
396	325	494
397	325	492
398	326	491
399	326	490
400	327	488
401	327	487
402	328	485
403	328	484
404	329	483
405	329	482
406	330	481
407	330	479
408	331	478
409	331	477
410	332	475
411	332	474
412	332	473
413	333	471
414	333	470
415	334	469
416	335	468
417	335	467
418	336	466
419	336	464
420	337	463
421	337	462
422	337	460
423	338	459
424	339	459
425	339	457
426	340	456
427	340	455
428	341	454
429	341	453
430	342	452
431	342	450
432	343	449
433	343	448
434	344	447
435	344	445
436	345	444
437	345	443
438	346	442
439	346	441
440	347	440
441	347	438
442	348	437
443	348	436
444	348	435
445	349	434
446	350	433
447	350	432
448	351	430
449	351	429
450	352	428
451	352	427
452	352	426
453	353	424
454	353	423
455	354	422
456	354	421
457	355	420
458	355	419
459	356	418
460	356	417
461	357	416
462	357	415
463	358	413
464	358	412
465	359	411
466	359	410
467	360	409
468	360	408
469	361	407
470	361	406
471	362	405
472	362	404
473	363	403
474	363	401
475	364	400
476	364	399
477	365	398
478	365	397
479	366	396
480	366	395
481	367	394
482	367	393
483	368	392
484	368	391
485	368	390
486	369	389
487	369	388
488	370	387
489	370	385
490	371	385
491	371	383
492	372	382
493	372	381
494	373	380
495	373	379
496	374	378
497	374	377
498	375	376
499	375	375
500	376	374
501	376	373
502	377	372
503	377	371
504	378	370
505	378	369
506	379	368
507	379	367
508	379	366
509	380	365
510	380	364
511	381	363
512	382	362
513	382	361
514	382	360
515	383	359
516	383	358
517	384	357
518	384	356
519	385	355
520	385	354
521	386	353
522	386	352
523	387	351
524	387	350
525	388	350
526	388	348
527	389	347
528	389	346
529	390	345
530	390	345
531	391	344
532	391	343
533	392	342
534	392	341
535	393	340
536	393	339
537	394	338
538	394	337
539	395	336
540	395	335
541	396	334
542	396	333
543	397	332
544	397	331
545	398	331
546	398	330
547	399	329
548	399	328
549	400	327
550	400	326
551	400	325
552	401	324
553	401	323
554	402	322
555	403	321
556	403	320
557	403	319
558	404	319
559	404	318
560	405	317
561	405	316
562	406	315
563	406	314
564	407	313
565	408	312
566	408	311
567	409	311
568	409	310
569	409	309
570	410	308
571	410	307
572	411	306
573	411	305
574	412	304
575	412	303
576	413	303
577	413	302
578	414	301
579	414	300
580	415	299
581	415	298
582	416	297
583	416	296
584	417	295
585	417	295
586	418	294
587	418	293
588	419	292
589	419	291
590	420	290
591	420	289
592	420	288
593	421	288
594	421	287
595	422	286
596	422	285
597	423	284
598	423	283
599	424	282
600	424	281
601	425	281
602	425	280
603	426	279
604	426	278
605	426	277
606	427	276
607	427	275
608	428	275
609	428	274
610	429	273
611	429	272
612	430	271
613	430	270
614	431	269
615	431	268
616	431	268
617	432	267
618	432	266
619	433	265
620	433	264
621	434	264
622	434	263
623	435	262
624	435	261
625	436	260
626	436	259
627	437	259
628	437	258
629	438	257
630	438	256
631	439	255
632	440	255
633	440	254
634	441	253
635	441	252
636	442	251
637	442	251
638	442	250
639	443	249
640	443	248
641	444	247
642	445	247
643	445	246
644	446	245
645	446	244
646	447	243
647	447	243
648	448	242
649	448	241
650	449	240
651	449	240
652	450	239
653	450	238
654	451	237
655	451	236
656	452	235
657	452	235
658	452	234
659	453	233
660	453	232
661	454	232
662	455	231
663	455	230
664	456	229
665	456	228
666	457	228
667	457	227
668	457	226
669	458	225
670	458	224
671	459	224
672	459	223
673	460	222
674	460	221
675	461	221
676	461	220
677	462	219
678	462	218
679	463	217
680	463	217
681	464	216
682	464	215
683	465	214
684	465	214
685	466	213
686	466	212
687	467	211
688	467	211
689	467	210
690	468	209
691	468	208
692	469	207
693	469	207
694	470	206
695	470	205
696	471	204
697	471	204
698	472	203
699	472	202
700	473	201
701	473	201
702	474	200
703	474	199
704	475	198
705	475	198
706	476	197
707	476	196
708	477	195
709	477	195
710	478	194
711	478	193
712	479	192
713	479	192
714	480	191
715	480	190
716	481	189
717	481	189
718	482	188
719	482	187
720	483	187
721	483	186
722	484	185
723	484	184
724	485	183
725	485	183
726	486	182
727	486	181
728	487	181
729	487	180
730	488	179
731	488	178
732	489	178
733	489	177
734	489	176
735	490	175
736	490	175
737	491	174
738	491	173
739	492	173
740	492	172
741	493	171
742	493	170
743	494	170
744	494	169
745	495	168
746	495	167
747	496	167
748	496	166
749	497	165
750	497	165
751	498	164
752	498	163
753	499	162
754	499	162
755	500	161
756	500	160
757	501	160
758	501	159
759	502	158
760	502	157
761	503	157
762	503	156
763	504	155
764	504	155
765	504	154
766	505	153
767	505	152
768	506	152
769	507	151
770	507	150
771	508	150
772	508	149
773	508	148
774	509	147
775	509	147
776	510	146
777	510	145
778	511	145
779	511	144
780	512	143
781	512	142
782	513	142
783	513	141
784	514	140
785	514	140
786	515	139
787	515	138
788	516	138
789	516	137
790	517	136
791	517	135
792	518	135
793	518	134
794	519	133
795	519	133
796	520	132
797	520	131
798	520	131
799	521	130
800	521	129
801	522	129
802	523	128
803	523	127
804	524	126
805	524	126
806	524	125
807	525	124
808	525	124
809	526	123
810	526	122
811	527	122
812	528	121
813	528	120
814	528	120
815	529	119
816	529	118
817	530	118
818	530	117
819	531	116
820	531	115
821	532	115
822	532	114
823	533	113
824	533	113
825	534	112
826	534	111
827	535	111
828	535	110
829	536	109
830	536	109
831	537	108
832	537	107
833	538	107
834	538	106
835	539	105
836	539	105
837	540	104
838	540	103
839	541	103
840	541	102
841	542	101
842	542	101
843	543	100
844	543	99
845	544	99
846	544	98
847	545	97
848	545	97
849	546	96
850	546	95
851	547	95
852	547	94
853	548	93
854	548	93
855	549	92
856	549	91
857	550	91
858	550	90
859	551	89
860	551	89
861	552	88
862	552	87
863	553	87
864	553	86
865	554	85
866	554	85
867	555	84
868	555	83
869	556	83
870	556	82
871	557	81
872	557	81
873	558	80
874	558	79
875	559	79
876	559	78
877	560	77
878	560	77
879	561	76
880	561	75
881	562	75
882	562	74
883	562	73
884	563	73
885	563	72
886	564	71
887	565	71
888	565	70
889	566	69
890	566	69
891	566	68
892	567	67
893	567	67
894	568	66
895	568	66
896	569	65
897	569	64
898	570	64
899	570	63
900	571	62
901	571	62
902	572	61
903	572	60
904	573	60
905	573	59
906	574	58
907	574	58
908	575	57
909	575	56
910	576	56
911	576	55
912	577	54
913	577	54
914	578	53
915	578	53
916	578	52
917	579	51
918	579	51
919	580	50
920	581	49
921	581	49
922	581	48
923	582	47
924	582	47
925	583	46
926	583	45
927	584	45
928	584	44
929	585	44
930	585	43
931	586	42
932	586	42
933	587	41
934	587	40
935	588	40
936	588	39
937	589	38
938	589	38
939	590	37
940	590	37
